item_id,item_name,category,size,temperature,description,price_inr,rating,calories,availability
ITEM0001,Vanilla Latte,Coffee,Small,Hot,"Small Vanilla Latte, smooth and creamy, served hot.",220,3.6,202,Available
ITEM0002,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, rich and strong, served hot.",382,4.0,90,Available
ITEM0003,Latte,Coffee,Small,Hot,"Small Latte, light and refreshing, served hot.",367,3.6,618,Out of Stock
ITEM0004,Latte,Coffee,Medium,Cold,"Medium Latte, sweet and aromatic, served cold.",83,4.6,223,Out of Stock
ITEM0005,Flat White,Coffee,Medium,Hot,"Medium Flat White, chocolate flavored, served hot.",190,4.9,404,Available
ITEM0006,Americano,Coffee,Medium,Hot,"Medium Americano, caramel flavored, served hot.",263,4.7,330,Available
ITEM0007,Caramel Latte,Coffee,Medium,Hot,"Medium Caramel Latte, nutty and balanced, served hot.",273,3.3,360,Available
ITEM0008,Iced Mocha,Dessert,Large,Hot,"Large Iced Mocha, mild and creamy, served hot.",103,4.4,356,Available
ITEM0009,Irish Cream Coffee,Coffee,Small,Hot,"Small Irish Cream Coffee, smooth and creamy, served hot.",274,3.7,433,Available
ITEM0010,Flat White,Coffee,Medium,Hot,"Medium Flat White, rich and strong, served hot.",423,3.7,133,Available
ITEM0011,Iced Latte,Coffee,Large,Hot,"Large Iced Latte, light and refreshing, served hot.",163,4.0,336,Available
ITEM0012,Vanilla Latte,Coffee,Medium,Hot,"Medium Vanilla Latte, sweet and aromatic, served hot.",197,4.7,383,Out of Stock
ITEM0013,Mocha,Coffee,Small,Hot,"Small Mocha, chocolate flavored, served hot.",370,4.8,382,Available
ITEM0014,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, caramel flavored, served cold.",409,4.0,331,Available
ITEM0015,Latte,Coffee,Large,Cold,"Large Latte, nutty and balanced, served cold.",379,4.0,468,Available
ITEM0016,Latte,Coffee,Small,Cold,"Small Latte, mild and creamy, served cold.",126,4.6,172,Available
ITEM0017,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, smooth and creamy, served cold.",385,3.3,450,Out of Stock
ITEM0018,Iced Latte,Coffee,Medium,Hot,"Medium Iced Latte, rich and strong, served hot.",428,4.5,609,Available
ITEM0019,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, light and refreshing, served cold.",137,3.7,221,Out of Stock
ITEM0020,Espresso,Coffee,Large,Cold,"Large Espresso, sweet and aromatic, served cold.",336,4.6,579,Available
ITEM0021,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, chocolate flavored, served cold.",407,4.1,263,Available
ITEM0022,Flat White,Coffee,Small,Hot,"Small Flat White, caramel flavored, served hot.",386,3.8,79,Available
ITEM0023,Affogato,Sandwich,Medium,Hot,"Medium Affogato, nutty and balanced, served hot.",109,3.6,640,Available
ITEM0024,Americano,Coffee,Large,Cold,"Large Americano, mild and creamy, served cold.",115,5.0,605,Available
ITEM0025,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, smooth and creamy, served cold.",361,3.5,600,Out of Stock
ITEM0026,Latte,Coffee,Large,Hot,"Large Latte, rich and strong, served hot.",445,3.8,442,Out of Stock
ITEM0027,Affogato,Breakfast,Medium,Hot,"Medium Affogato, light and refreshing, served hot.",206,3.6,406,Available
ITEM0028,Iced Mocha,Breakfast,Small,Hot,"Small Iced Mocha, sweet and aromatic, served hot.",83,3.3,120,Available
ITEM0029,Americano,Coffee,Small,Cold,"Small Americano, chocolate flavored, served cold.",116,4.1,345,Out of Stock
ITEM0030,Latte,Coffee,Large,Hot,"Large Latte, caramel flavored, served hot.",450,4.9,644,Out of Stock
ITEM0031,Latte,Coffee,Medium,Cold,"Medium Latte, nutty and balanced, served cold.",177,3.4,501,Available
ITEM0032,Macchiato,Coffee,Medium,Cold,"Medium Macchiato, mild and creamy, served cold.",107,4.4,160,Available
ITEM0033,Macchiato,Coffee,Large,Cold,"Large Macchiato, smooth and creamy, served cold.",135,3.6,254,Out of Stock
ITEM0034,Cappuccino,Coffee,Medium,Hot,"Medium Cappuccino, rich and strong, served hot.",222,4.0,137,Out of Stock
ITEM0035,Hazelnut Coffee,Coffee,Large,Hot,"Large Hazelnut Coffee, light and refreshing, served hot.",105,4.4,613,Available
ITEM0036,Americano,Coffee,Small,Hot,"Small Americano, sweet and aromatic, served hot.",288,4.1,278,Out of Stock
ITEM0037,Affogato,Tea,Small,Cold,"Small Affogato, chocolate flavored, served cold.",81,5.0,331,Out of Stock
ITEM0038,Mocha,Coffee,Medium,Cold,"Medium Mocha, caramel flavored, served cold.",159,3.5,282,Available
ITEM0039,Iced Mocha,Beverage,Large,Hot,"Large Iced Mocha, nutty and balanced, served hot.",240,3.3,548,Available
ITEM0040,Espresso,Coffee,Large,Hot,"Large Espresso, mild and creamy, served hot.",175,3.3,129,Available
ITEM0041,Macchiato,Coffee,Small,Hot,"Small Macchiato, smooth and creamy, served hot.",376,4.3,143,Out of Stock
ITEM0042,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, rich and strong, served cold.",213,3.6,381,Available
ITEM0043,Mocha,Coffee,Medium,Hot,"Medium Mocha, light and refreshing, served hot.",423,4.4,528,Available
ITEM0044,Affogato,Tea,Small,Cold,"Small Affogato, sweet and aromatic, served cold.",398,5.0,162,Available
ITEM0045,Iced Latte,Coffee,Small,Cold,"Small Iced Latte, chocolate flavored, served cold.",147,4.9,130,Available
ITEM0046,Flat White,Coffee,Medium,Hot,"Medium Flat White, caramel flavored, served hot.",304,4.7,369,Available
ITEM0047,Vanilla Latte,Coffee,Large,Cold,"Large Vanilla Latte, nutty and balanced, served cold.",419,3.4,197,Available
ITEM0048,Americano,Coffee,Small,Hot,"Small Americano, mild and creamy, served hot.",219,3.7,275,Available
ITEM0049,Latte,Coffee,Large,Cold,"Large Latte, smooth and creamy, served cold.",338,4.1,112,Available
ITEM0050,Vanilla Latte,Coffee,Medium,Cold,"Medium Vanilla Latte, rich and strong, served cold.",102,3.2,193,Available
ITEM0051,Cappuccino,Coffee,Large,Cold,"Large Cappuccino, light and refreshing, served cold.",362,4.5,634,Available
ITEM0052,Americano,Coffee,Small,Hot,"Small Americano, sweet and aromatic, served hot.",359,3.3,438,Available
ITEM0053,Macchiato,Coffee,Small,Hot,"Small Macchiato, chocolate flavored, served hot.",237,3.9,100,Available
ITEM0054,Latte,Coffee,Large,Hot,"Large Latte, caramel flavored, served hot.",421,3.4,633,Out of Stock
ITEM0055,Iced Mocha,Beverage,Small,Hot,"Small Iced Mocha, nutty and balanced, served hot.",163,5.0,241,Out of Stock
ITEM0056,Espresso,Coffee,Small,Cold,"Small Espresso, mild and creamy, served cold.",290,4.6,314,Available
ITEM0057,Cappuccino,Coffee,Large,Hot,"Large Cappuccino, smooth and creamy, served hot.",275,4.8,541,Available
ITEM0058,Latte,Coffee,Medium,Cold,"Medium Latte, rich and strong, served cold.",236,4.7,293,Available
ITEM0059,Espresso,Coffee,Large,Hot,"Large Espresso, light and refreshing, served hot.",284,3.8,131,Available
ITEM0060,Flat White,Coffee,Large,Cold,"Large Flat White, sweet and aromatic, served cold.",427,5.0,609,Available
ITEM0061,Espresso,Coffee,Small,Cold,"Small Espresso, chocolate flavored, served cold.",171,4.2,331,Available
ITEM0062,Americano,Coffee,Large,Cold,"Large Americano, caramel flavored, served cold.",256,4.5,381,Out of Stock
ITEM0063,Iced Mocha,Breakfast,Small,Cold,"Small Iced Mocha, nutty and balanced, served cold.",375,3.5,105,Out of Stock
ITEM0064,Espresso,Coffee,Large,Hot,"Large Espresso, mild and creamy, served hot.",266,4.0,398,Available
ITEM0065,Vanilla Latte,Coffee,Small,Cold,"Small Vanilla Latte, smooth and creamy, served cold.",339,3.8,478,Available
ITEM0066,Macchiato,Coffee,Large,Cold,"Large Macchiato, rich and strong, served cold.",363,3.4,490,Out of Stock
ITEM0067,Vanilla Latte,Coffee,Large,Hot,"Large Vanilla Latte, light and refreshing, served hot.",395,4.2,475,Available
ITEM0068,Mocha,Coffee,Medium,Hot,"Medium Mocha, sweet and aromatic, served hot.",300,4.6,389,Out of Stock
ITEM0069,Cold Coffee,Coffee,Medium,Hot,"Medium Cold Coffee, chocolate flavored, served hot.",341,4.1,233,Available
ITEM0070,Mocha,Coffee,Large,Cold,"Large Mocha, caramel flavored, served cold.",127,4.7,300,Available
ITEM0071,Latte,Coffee,Small,Hot,"Small Latte, nutty and balanced, served hot.",92,3.3,546,Available
ITEM0072,Cold Coffee,Coffee,Medium,Hot,"Medium Cold Coffee, mild and creamy, served hot.",447,4.5,566,Out of Stock
ITEM0073,Latte,Coffee,Small,Hot,"Small Latte, smooth and creamy, served hot.",134,4.6,284,Available
ITEM0074,Hazelnut Coffee,Coffee,Large,Cold,"Large Hazelnut Coffee, rich and strong, served cold.",105,4.2,184,Out of Stock
ITEM0075,Cappuccino,Coffee,Medium,Cold,"Medium Cappuccino, light and refreshing, served cold.",306,4.3,576,Out of Stock
ITEM0076,Irish Cream Coffee,Coffee,Large,Cold,"Large Irish Cream Coffee, sweet and aromatic, served cold.",161,4.5,546,Out of Stock
ITEM0077,Mocha,Coffee,Small,Cold,"Small Mocha, chocolate flavored, served cold.",346,4.1,304,Available
ITEM0078,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, caramel flavored, served cold.",200,3.7,387,Available
ITEM0079,Cappuccino,Coffee,Small,Hot,"Small Cappuccino, nutty and balanced, served hot.",276,4.4,279,Available
ITEM0080,Macchiato,Coffee,Medium,Cold,"Medium Macchiato, mild and creamy, served cold.",357,4.0,123,Available
ITEM0081,Irish Cream Coffee,Coffee,Medium,Cold,"Medium Irish Cream Coffee, smooth and creamy, served cold.",379,4.9,80,Out of Stock
ITEM0082,Cold Coffee,Coffee,Small,Cold,"Small Cold Coffee, rich and strong, served cold.",232,4.6,489,Available
